Date,Imported,Lat,Long
01/07/2016,Y,24.435406,98.589359
03/07/2016,N,24.44172,98.718885
01/08/2016,N,24.443542,98.592835
20/08/2016,Y,25.09817,99.180409
01/09/2016,N,23.354603,103.394127
02/09/2016,Y,24.87032,101.34127
13/09/2016,N,23.476677,103.334791
01/10/2016,N,26.473307,107.011136
15/10/2016,Y,25.58572,108.98708
02/11/2016,N,32.4047,91.1082
03/11/2016,Y,31.8543,119.9385
30/11/2016,N,25.1999,107.1902
01/12/2016,N,32.6863,102.5112
30/12/2016,Y,30.3282,95.1158
10/01/2017,N,31.7195,97.3500
01/02/2017,Y,23.5577,88.6806
15/03/2017,N,32.9521,102.4175
30/03/2017,N,24.0338,114.1241
02/04/2017,Y,25.1395,82.3853
10/04/2017,N,32.0887,107.2517
30/04/2017,Y,32.8635,96.6524
01/05/2017,N,28.4507,88.2710
02/05/2017,N,32.6776,99.4135
18/05/2017,N,27.7114,94.6828
01/06/2017,Y,31.4812,106.9585
02/06/2017,Y,31.8939,111.9132
19/06/2017,N,23.1602,109.5715
01/08/2017,N,32.4364,98.7876
15/08/2017,Y,26.2406,104.9978
16/08/2017,N,23.7860,86.8116
31/08/2017,Y,32.9646,101.6707
01/09/2017,N,30.4225,98.8530
04/09/2017,N,32.5979,86.8480
05/09/2017,N,30.9593,93.6910
